stride,access_size,test_ptr,mean,median,hit_rate,n
1,5,75,305.6662,272.0,0.0,10000
1,5,76,324.56525652565256,266,0.0,9999
1,5,77,297.3828,272.0,0.0,10000
1,5,78,290.8634,272.0,0.0,10000
1,5,79,295.7314,272.0,0.0,10000
1,5,80,293.1011101110111,266,0.0,9999
1,5,81,322.917,272.0,0.0,10000
1,5,82,332.9004900490049,272,0.0,9999
1,5,83,318.6106,272.0,0.0,10000
1,5,84,319.6313631363136,272,0.0,9999
1,5,85,317.6513651365137,266,0.0,9999
1,5,86,305.5288,266.0,0.0,10000
1,5,87,310.4724,272.0,0.0,10000
1,5,88,320.31763176317634,266,0.0,9999
1,5,89,320.3336,272.0,0.0,10000
1,5,90,297.2682536507302,266.0,0.0,9998
1,5,91,296.7324,272.0,0.0,10000
1,5,92,317.7902,272.0,0.0,10000
1,5,93,321.82998299829984,266,0.0,9999
1,5,94,312.7464,272.0,0.0,10000
1,5,95,339.348,266.0,0.0,10000
1,5,96,288.1368,266.0,0.0,10000
1,5,97,328.9382,266.0,0.0,10000
1,5,98,330.7714,266.0,0.0,10000
1,5,99,305.1372,272.0,0.0,10000
1,6,0,314.1006,266.0,0.0,10000
1,6,1,298.4532,266.0,0.0,10000
1,6,2,290.3996,272.0,0.0,10000
1,6,3,306.6916,266.0,0.0,10000
1,6,4,301.1766,272.0,0.0,10000
1,6,5,295.9916,266.0,0.0,10000
1,6,6,318.92989298929893,266,0.0,9999
1,6,7,309.8206,272.0,0.0,10000
1,6,8,310.1148,266.0,0.0,10000
1,6,9,308.0364,272.0,0.0,10000
1,6,10,308.4016,272.0,0.0,10000
1,6,11,302.5376,266.0,0.0,10000
1,6,12,316.5236,272.0,0.0,10000
1,6,13,316.27842784278425,272,0.0,9999
1,6,14,319.3238,266.0,0.0,10000
1,6,15,296.0102,266.0,0.0,10000
1,6,16,310.266,272.0,0.0,10000
1,6,17,295.8618,272.0,0.0,10000
